Sleep Stage,MeanP_Alpha_F4,MeanP_Beta_F4,MeanP_Theta_F4,MeanP_Delta_F4,MeanP_Gamma_F4,MeanP_Alpha_C4,MeanP_Beta_C4,MeanP_Theta_C4,MeanP_Delta_C4,MeanP_Gamma_C4,MeanP_Alpha_O2,MeanP_Beta_O2,MeanP_Theta_O2,MeanP_Delta_O2,MeanP_Gamma_O2,Total_P_F4,Total_P_C4,Total_P_O2,Relative_MeanP_Alpha_F4,Relative_MeanP_Beta_F4,Relative_MeanP_Theta_F4,Relative_MeanP_Delta_F4,Relative_MeanP_Gamma_F4,Relative_MeanP_Alpha_C4,Relative_MeanP_Beta_C4,Relative_MeanP_Theta_C4,Relative_MeanP_Delta_C4,Relative_MeanP_Gamma_C4,Relative_MeanP_Alpha_O2,Relative_MeanP_Beta_O2,Relative_MeanP_Theta_O2,Relative_MeanP_Delta_O2,Relative_MeanP_Gamma_O2,Relative_MeanP_Alpha_G,Relative_MeanP_Beta_G,Relative_MeanP_Theta_G,Relative_MeanP_Delta_G,Relative_MeanP_Gamma_G,DAR_F4,DAR_C4,DAR_O2,DAR_G,DTR_F4,DTR_O2,DTABR_F4,DTABR_C4,DTABR_O2,DTABR_G,P_G
N2,0.00057,0.00065,0.00083,0.00655,0.00014,0.00061,0.00071,0.00096,0.00384,0.00015,0.00036,0.00051,0.00052,0.00769,0.00013,0.00874,0.00627,0.00921,0.0652,0.0744,0.095,0.749,0.016,0.0973,0.113,0.153,0.612,0.0239,0.0391,0.0554,0.0565,0.835,0.0141,0.202,0.243,0.305,2.2,0.0541,11.5,6.3,21.4,13.0,7.89,14.8,6.05,3.64,9.44,6.37,0.00807
N1,0.00093,0.00146,0.00134,0.211,0.00053,0.00089,0.00135,0.00135,0.109,0.00045,0.00062,0.00107,0.00107,0.118,0.00039,0.216,0.113,0.122,0.00431,0.00677,0.00621,0.98,0.00246,0.00788,0.012,0.012,0.964,0.00398,0.0051,0.0088,0.0088,0.974,0.00321,0.0173,0.0275,0.027,2.92,0.00965,227.0,122.0,191.0,180.0,158.0,111.0,89.0,49.2,70.7,69.7,0.15
N1,0.00049,0.00058,0.00061,0.00604,0.00013,0.00054,0.00069,0.00067,0.00422,0.00013,0.00041,0.00053,0.00052,0.00768,0.00012,0.00785,0.00625,0.00926,0.0624,0.0739,0.0777,0.769,0.0166,0.0864,0.11,0.107,0.675,0.0208,0.0443,0.0572,0.0562,0.829,0.013,0.193,0.242,0.241,2.27,0.0503,12.3,7.81,18.7,13.0,9.9,14.8,6.21,3.98,8.72,6.3,0.00779
N2,0.00048,0.00047,0.00072,0.00476,6.95e-05,0.00054,0.00056,0.00076,0.00303,6.97e-05,0.00042,0.00042,0.00052,0.00151,5.2e-05,0.0065,0.00496,0.00292,0.0739,0.0723,0.111,0.732,0.0107,0.109,0.113,0.153,0.611,0.0141,0.144,0.144,0.178,0.517,0.0178,0.326,0.329,0.442,1.86,0.0425,9.92,5.61,3.6,6.37,6.61,2.9,5.77,3.45,2.42,3.88,0.00479
W,0.00179,0.00301,0.00441,0.0716,0.00146,0.00162,0.00287,0.00298,0.0249,0.00153,0.00115,0.00346,0.00098,0.0197,0.00203,0.0822,0.0339,0.0273,0.0218,0.0366,0.0536,0.87,0.0178,0.0479,0.0848,0.088,0.734,0.0452,0.0421,0.127,0.0358,0.721,0.0743,0.112,0.248,0.178,2.33,0.137,40.0,15.3,17.1,24.2,16.2,20.1,15.8,6.2,4.49,8.84,0.0478
W,0.00131,0.00166,0.00493,0.0871,0.00078,0.00072,0.00148,0.00136,0.0201,0.00072,0.00069,0.00229,0.00055,0.00478,0.00123,0.0958,0.0244,0.00954,0.0137,0.0173,0.0515,0.909,0.00814,0.0295,0.0606,0.0557,0.825,0.0295,0.0723,0.24,0.0577,0.501,0.129,0.115,0.318,0.165,2.24,0.167,66.5,28.0,6.93,33.8,17.7,8.69,31.0,9.77,1.79,14.2,0.0433
W,0.00137,0.00201,0.0055,0.0943,0.00119,0.00063,0.00123,0.00135,0.0196,0.00055,0.00073,0.00209,0.00053,0.00529,0.00096,0.104,0.0234,0.0096,0.0131,0.0193,0.0527,0.904,0.0114,0.027,0.0527,0.0578,0.839,0.0236,0.076,0.218,0.0552,0.551,0.1,0.116,0.29,0.166,2.29,0.135,68.9,31.1,7.25,35.7,17.2,9.98,29.5,11.3,2.06,14.3,0.0458
W,0.00044,0.0006,0.00111,0.0261,0.0002,0.00038,0.00064,0.00052,0.00744,0.00022,0.00063,0.00172,0.00042,0.00195,0.00074,0.0284,0.0092,0.00546,0.0155,0.0211,0.039,0.917,0.00703,0.0413,0.0696,0.0565,0.809,0.0239,0.115,0.315,0.0769,0.357,0.136,0.172,0.406,0.172,2.08,0.166,59.3,19.6,3.1,27.3,23.5,4.64,26.2,7.8,1.01,11.7,0.0144
W,0.00045,0.00059,0.00101,0.0458,0.0002,0.00041,0.00067,0.00053,0.0114,0.00024,0.00068,0.00194,0.00039,0.00202,0.00088,0.048,0.0132,0.00591,0.00938,0.0123,0.021,0.953,0.00417,0.031,0.0506,0.04,0.86,0.0181,0.115,0.328,0.066,0.342,0.149,0.155,0.391,0.127,2.16,0.171,102.0,27.8,2.97,44.1,45.3,5.18,45.0,11.0,0.92,19.0,0.0224
W,0.00096,0.00201,0.00245,0.0401,0.00092,0.0006,0.00143,0.00091,0.0105,0.00052,0.0008,0.0024,0.0005,0.00314,0.00109,0.0465,0.014,0.00793,0.0207,0.0433,0.0527,0.864,0.0198,0.0429,0.102,0.065,0.753,0.0371,0.101,0.303,0.0631,0.396,0.137,0.164,0.448,0.181,2.01,0.194,41.8,17.6,3.93,21.1,16.4,6.28,14.3,5.64,1.14,7.04,0.0228
W,0.00091,0.00079,0.00347,0.0516,0.00024,0.00054,0.00072,0.00112,0.0124,0.00024,0.00056,0.00181,0.00047,0.00304,0.00097,0.057,0.015,0.00685,0.016,0.0139,0.0608,0.905,0.00421,0.036,0.048,0.0746,0.825,0.016,0.0818,0.264,0.0686,0.444,0.142,0.134,0.326,0.204,2.17,0.162,56.7,22.9,5.43,28.4,14.9,6.47,32.4,10.7,1.48,14.9,0.0263
W,0.00115,0.00139,0.0039,0.16,0.00055,0.00076,0.0012,0.00138,0.0379,0.00047,0.00063,0.00172,0.00053,0.00734,0.0008,0.167,0.0417,0.011,0.00689,0.00833,0.0234,0.958,0.0033,0.0182,0.0288,0.0331,0.909,0.0113,0.0572,0.156,0.0481,0.666,0.0726,0.0823,0.193,0.105,2.53,0.0872,139.0,49.9,11.7,66.8,41.0,13.8,64.5,20.1,3.35,29.3,0.0732
W,0.00767,0.0231,0.0113,0.16,0.0152,0.00344,0.0114,0.00459,0.0568,0.00811,0.00188,0.00803,0.00186,0.0367,0.00593,0.217,0.0843,0.0544,0.0353,0.106,0.0517,0.737,0.0699,0.0408,0.135,0.0544,0.674,0.0962,0.0346,0.148,0.0342,0.674,0.109,0.111,0.389,0.14,2.08,0.275,20.9,16.5,19.5,19.0,14.2,19.7,5.58,4.14,3.89,4.53,0.119
W,0.00109,0.003,0.00216,0.0469,0.0017,0.0007,0.00159,0.0011,0.0134,0.00071,0.00047,0.00091,0.00047,0.00434,0.00037,0.0548,0.0175,0.00656,0.0199,0.0547,0.0394,0.855,0.031,0.04,0.091,0.0629,0.765,0.0406,0.0716,0.139,0.0716,0.662,0.0564,0.132,0.284,0.174,2.28,0.128,43.0,19.1,9.23,23.8,21.7,9.23,12.0,6.32,3.49,7.27,0.0263
W,0.00053,0.00092,0.00062,0.00434,0.00032,0.00054,0.00087,0.00067,0.00299,0.00026,0.00043,0.00081,0.00033,0.00228,0.0003,0.00673,0.00533,0.00415,0.0788,0.137,0.0921,0.645,0.0475,0.101,0.163,0.126,0.561,0.0488,0.104,0.195,0.0795,0.549,0.0723,0.284,0.495,0.297,1.76,0.169,8.19,5.54,5.3,6.34,7.0,6.91,3.42,2.6,2.1,2.71,0.0054
W,0.00066,0.00132,0.00068,0.00457,0.00061,0.00056,0.00099,0.00055,0.00235,0.00032,0.00036,0.0005,0.00032,0.00101,0.00012,0.00784,0.00477,0.00231,0.0842,0.168,0.0867,0.583,0.0778,0.117,0.208,0.115,0.493,0.0671,0.156,0.216,0.139,0.437,0.0519,0.357,0.592,0.341,1.51,0.197,6.92,4.2,2.81,4.64,6.72,3.16,2.65,1.87,1.55,2.02,0.00497
N1,0.00029,0.00035,0.00034,0.00187,4.85e-05,0.00034,0.00046,0.00039,0.00107,6.44e-05,0.00023,0.00028,0.00022,0.00076,3.95e-05,0.0029,0.00232,0.00153,0.1,0.121,0.117,0.645,0.0167,0.146,0.198,0.168,0.46,0.0277,0.15,0.183,0.144,0.497,0.0258,0.397,0.502,0.429,1.6,0.0703,6.45,3.15,3.3,4.3,5.5,3.45,3.45,1.83,1.92,2.4,0.00225
N1,0.00026,0.00032,0.00039,0.00203,5.59e-05,0.0003,0.00043,0.00043,0.00168,7.12e-05,0.00018,0.00025,0.0002,0.0008,4.2e-05,0.00306,0.00291,0.00147,0.0851,0.105,0.128,0.664,0.0183,0.103,0.148,0.148,0.577,0.0245,0.122,0.17,0.136,0.543,0.0285,0.31,0.422,0.411,1.78,0.0713,7.81,5.6,4.44,5.95,5.21,4.0,4.17,2.89,2.33,3.13,0.00248
N1,0.0003,0.00044,0.00042,0.0029,0.00012,0.00031,0.00049,0.00039,0.0017,0.00011,0.00018,0.00026,0.0002,0.00109,5.78e-05,0.00418,0.003,0.00179,0.0718,0.105,0.1,0.694,0.0287,0.103,0.163,0.13,0.567,0.0367,0.101,0.145,0.112,0.61,0.0323,0.276,0.414,0.342,1.87,0.0977,9.67,5.48,6.06,7.07,6.9,5.45,4.49,2.61,2.93,3.34,0.00299
N1,0.00037,0.00032,0.00071,0.00307,3.46e-05,0.00051,0.00053,0.00098,0.0028,6.03e-05,0.0002,0.00023,0.00028,0.00081,3.19e-05,0.0045,0.00488,0.00155,0.0821,0.071,0.158,0.682,0.00768,0.105,0.109,0.201,0.574,0.0124,0.129,0.148,0.18,0.522,0.0206,0.316,0.328,0.539,1.78,0.0406,8.3,5.49,4.05,5.95,4.32,2.89,5.48,3.63,2.53,3.88,0.00365
N2,0.0005,0.0005,0.00066,0.00256,4.81e-05,0.00059,0.0007,0.00084,0.0029,7.45e-05,0.00031,0.00036,0.00039,0.00117,4.33e-05,0.00427,0.0051,0.00227,0.117,0.117,0.155,0.6,0.0113,0.116,0.137,0.165,0.568,0.0146,0.136,0.158,0.172,0.515,0.019,0.369,0.413,0.491,1.68,0.0449,5.12,4.92,3.77,4.6,3.88,3.0,3.22,2.9,2.33,2.82,0.00388
N2,0.00046,0.00035,0.00116,0.00702,3.29e-05,0.00066,0.00046,0.0019,0.00944,3.93e-05,0.0003,0.00026,0.00048,0.00126,2.91e-05,0.00902,0.0125,0.00233,0.051,0.0388,0.129,0.778,0.00365,0.0528,0.0368,0.152,0.755,0.00314,0.129,0.112,0.206,0.541,0.0125,0.233,0.187,0.487,2.07,0.0193,15.3,14.3,4.2,11.3,6.05,2.63,10.1,10.1,3.11,7.78,0.00795
N2,0.00043,0.00036,0.00062,0.00214,3.43e-05,0.00058,0.00049,0.00131,0.00432,4.49e-05,0.00029,0.00028,0.0004,0.00103,3.1e-05,0.00358,0.00674,0.00203,0.12,0.1,0.173,0.597,0.00957,0.086,0.0726,0.194,0.64,0.00666,0.143,0.138,0.197,0.507,0.0153,0.349,0.311,0.564,1.74,0.0315,4.98,7.45,3.55,5.33,3.45,2.58,3.49,5.26,2.51,3.75,0.00412
N2,0.0006,0.00044,0.00125,0.0116,3.5e-05,0.00074,0.00058,0.00145,0.00869,4.16e-05,0.00037,0.00033,0.00053,0.0017,3.09e-05,0.014,0.0115,0.00296,0.043,0.0315,0.0895,0.834,0.00251,0.0643,0.0504,0.126,0.756,0.00362,0.125,0.111,0.179,0.574,0.0104,0.232,0.193,0.395,2.16,0.0166,19.4,11.7,4.59,11.9,9.31,3.21,12.4,7.68,3.19,7.75,0.00948
N2,0.00074,0.00075,0.00125,0.00819,0.00016,0.00085,0.00085,0.00174,0.00862,0.00016,0.00041,0.00055,0.00054,0.00239,0.00015,0.0111,0.0122,0.00404,0.0667,0.0676,0.113,0.739,0.0144,0.0696,0.0696,0.142,0.705,0.0131,0.101,0.136,0.134,0.592,0.0371,0.238,0.273,0.389,2.04,0.0646,11.1,10.1,5.83,9.01,6.55,4.43,6.34,6.09,3.05,5.16,0.00912
N2,0.0003,0.00029,0.00054,0.00228,3.57e-05,0.00042,0.0004,0.00075,0.0034,4.56e-05,0.00024,0.00023,0.00042,0.00105,3.54e-05,0.00345,0.00502,0.00198,0.0871,0.0842,0.157,0.662,0.0104,0.0837,0.0798,0.15,0.678,0.00909,0.121,0.116,0.213,0.532,0.0179,0.292,0.28,0.519,1.87,0.0374,7.6,8.1,4.38,6.69,4.22,2.5,4.78,5.06,3.13,4.32,0.00348
N2,0.00073,0.00054,0.00111,0.00727,3.88e-05,0.00083,0.00062,0.00173,0.00796,4.44e-05,0.00033,0.00029,0.00045,0.0017,3.24e-05,0.00969,0.0112,0.0028,0.0753,0.0557,0.115,0.75,0.004,0.0742,0.0554,0.155,0.712,0.00397,0.118,0.103,0.161,0.607,0.0116,0.267,0.215,0.43,2.07,0.0195,9.96,9.59,5.15,8.23,6.55,3.78,6.6,6.68,3.47,5.58,0.00789
N2,0.00056,0.00041,0.00102,0.00359,3.38e-05,0.00098,0.00066,0.00205,0.00667,4.47e-05,0.00038,0.0003,0.00061,0.00189,3.12e-05,0.00561,0.0104,0.00321,0.0998,0.073,0.182,0.639,0.00602,0.0942,0.0634,0.197,0.641,0.0043,0.118,0.0934,0.19,0.589,0.00972,0.312,0.23,0.569,1.87,0.02,6.41,6.81,4.97,6.06,3.52,3.1,4.75,5.32,3.68,4.58,0.00641
N2,0.00054,0.00042,0.001,0.00682,3.44e-05,0.00068,0.00053,0.00149,0.00708,4.24e-05,0.00032,0.00026,0.00051,0.00165,2.96e-05,0.00881,0.00982,0.00277,0.0613,0.0476,0.113,0.774,0.0039,0.0692,0.054,0.152,0.721,0.00432,0.116,0.0939,0.184,0.596,0.0107,0.246,0.195,0.449,2.09,0.0189,12.6,10.4,5.16,9.4,6.82,3.24,8.15,7.08,3.72,6.32,0.00714
N2,0.00049,0.00038,0.00114,0.00827,3.41e-05,0.00071,0.00054,0.00175,0.0087,4.14e-05,0.0003,0.00027,0.00045,0.0016,3.25e-05,0.0103,0.0117,0.00265,0.0475,0.0368,0.111,0.802,0.00331,0.0605,0.046,0.149,0.741,0.00353,0.113,0.102,0.17,0.603,0.0123,0.221,0.185,0.429,2.15,0.0191,16.9,12.3,5.33,11.5,7.25,3.56,10.8,8.36,3.6,7.59,0.00824
N2,0.00055,0.0004,0.00099,0.00823,3.33e-05,0.00078,0.00058,0.00158,0.00748,4.1e-05,0.00032,0.00025,0.00058,0.00149,3e-05,0.0102,0.0105,0.00267,0.0539,0.0392,0.097,0.807,0.00326,0.0746,0.0554,0.151,0.715,0.00392,0.12,0.0936,0.217,0.558,0.0112,0.248,0.188,0.465,2.08,0.0184,15.0,9.59,4.66,9.74,8.31,2.57,9.71,6.66,3.63,6.67,0.00778
N2,0.00082,0.00064,0.00147,0.0101,8.53e-05,0.00086,0.0007,0.00151,0.00748,9.04e-05,0.00046,0.00042,0.00065,0.00221,8.52e-05,0.0131,0.0106,0.00383,0.0625,0.0488,0.112,0.77,0.0065,0.0808,0.0658,0.142,0.703,0.0085,0.12,0.11,0.17,0.578,0.0223,0.264,0.224,0.424,2.05,0.0373,12.3,8.7,4.8,8.61,6.88,3.4,7.93,5.76,3.25,5.65,0.0092
N2,0.00043,0.00036,0.00064,0.00299,3.46e-05,0.00043,0.00039,0.0007,0.0023,4.1e-05,0.00027,0.00025,0.00043,0.00129,3.4e-05,0.00445,0.00386,0.00227,0.0965,0.0808,0.144,0.671,0.00777,0.111,0.101,0.181,0.596,0.0106,0.119,0.11,0.189,0.567,0.015,0.327,0.292,0.514,1.83,0.0333,6.95,5.35,4.78,5.69,4.67,3.0,4.59,3.66,3.31,3.85,0.00353
N2,0.00065,0.00052,0.001,0.00391,3.85e-05,0.00106,0.00077,0.00225,0.0077,4.67e-05,0.0004,0.00031,0.00064,0.00151,3.22e-05,0.00612,0.0118,0.00289,0.106,0.085,0.163,0.639,0.00629,0.0896,0.0651,0.19,0.651,0.00395,0.138,0.107,0.221,0.522,0.0111,0.334,0.257,0.575,1.81,0.0214,6.02,7.26,3.78,5.68,3.91,2.36,4.2,5.44,3.03,4.22,0.00695
N2,0.00062,0.00043,0.00113,0.00762,3.32e-05,0.00093,0.00065,0.00209,0.0101,4.2e-05,0.00039,0.00028,0.00072,0.00229,2.93e-05,0.00983,0.0138,0.00371,0.0631,0.0437,0.115,0.775,0.00338,0.0676,0.0472,0.152,0.73,0.00305,0.105,0.0755,0.194,0.617,0.0079,0.236,0.166,0.461,2.12,0.0143,12.3,10.8,5.87,9.66,6.74,3.18,8.33,7.68,4.49,6.84,0.0091
N2,0.00053,0.00039,0.00086,0.00367,3.1e-05,0.00071,0.00054,0.0014,0.00618,3.74e-05,0.0003,0.00024,0.0005,0.00144,2.77e-05,0.00548,0.00887,0.00251,0.0967,0.0712,0.157,0.67,0.00566,0.0801,0.0609,0.158,0.697,0.00422,0.12,0.0957,0.199,0.574,0.011,0.296,0.228,0.514,1.94,0.0209,6.92,8.7,4.8,6.81,4.27,2.88,4.92,6.06,3.59,4.86,0.00562
N2,0.00057,0.00039,0.00115,0.00906,3.12e-05,0.00084,0.00062,0.00162,0.0114,3.85e-05,0.00035,0.00025,0.00064,0.00245,2.55e-05,0.0112,0.0145,0.00372,0.0509,0.0348,0.103,0.809,0.00279,0.0577,0.0426,0.111,0.786,0.00265,0.0942,0.0673,0.172,0.659,0.00686,0.203,0.145,0.386,2.25,0.0123,15.9,13.6,7.0,12.2,7.88,3.83,10.6,8.94,5.15,8.24,0.00982
N2,0.00042,0.00031,0.00082,0.0047,2.85e-05,0.00058,0.00043,0.00137,0.00658,3.45e-05,0.0003,0.00024,0.00054,0.00157,2.59e-05,0.00628,0.00899,0.00268,0.0669,0.0494,0.131,0.749,0.00454,0.0645,0.0478,0.152,0.732,0.00384,0.112,0.0897,0.202,0.587,0.00968,0.243,0.187,0.485,2.07,0.0181,11.2,11.3,5.23,9.26,5.73,2.91,7.56,7.87,3.91,6.45,0.00598
N2,0.00088,0.00057,0.00141,0.00565,3.38e-05,0.00106,0.00074,0.00247,0.0105,4.06e-05,0.00035,0.00027,0.00063,0.00222,2.68e-05,0.00854,0.0148,0.0035,0.103,0.0667,0.165,0.661,0.00396,0.0715,0.0499,0.167,0.709,0.00274,0.1,0.0772,0.18,0.635,0.00766,0.275,0.194,0.512,2.01,0.0144,6.42,9.92,6.34,7.56,4.01,3.52,4.87,7.22,4.6,5.56,0.00896
N2,0.00071,0.00047,0.00128,0.00559,3.05e-05,0.00112,0.00083,0.00212,0.00865,4.17e-05,0.00036,0.00026,0.00067,0.00196,2.29e-05,0.00808,0.0128,0.00327,0.0879,0.0582,0.158,0.692,0.00377,0.0878,0.065,0.166,0.678,0.00327,0.11,0.0794,0.205,0.599,0.007,0.286,0.203,0.529,1.97,0.014,7.87,7.72,5.44,7.01,4.37,2.93,5.82,5.52,4.24,5.2,0.00804
N2,0.00077,0.00051,0.00119,0.00591,3.26e-05,0.00098,0.00075,0.00163,0.00828,4.16e-05,0.00037,0.00028,0.00059,0.00227,2.47e-05,0.00841,0.0117,0.00353,0.0915,0.0606,0.141,0.703,0.00388,0.0839,0.0642,0.14,0.709,0.00356,0.105,0.0792,0.167,0.642,0.00699,0.28,0.204,0.448,2.05,0.0144,7.68,8.45,6.14,7.42,4.97,3.85,5.55,5.73,4.4,5.23,0.00788
N2,0.00087,0.00059,0.00115,0.0039,3.34e-05,0.00106,0.00077,0.0016,0.00561,4.03e-05,0.00038,0.00028,0.00062,0.00191,2.4e-05,0.00654,0.00908,0.00321,0.133,0.0902,0.176,0.596,0.0051,0.117,0.0848,0.176,0.618,0.00444,0.118,0.0871,0.193,0.594,0.00747,0.368,0.262,0.545,1.81,0.017,4.48,5.29,5.03,4.93,3.39,3.08,3.46,3.94,3.83,3.74,0.00628
N2,0.00072,0.00046,0.00146,0.00757,2.9e-05,0.00096,0.00066,0.00213,0.0121,3.65e-05,0.00041,0.00028,0.00063,0.00263,2.41e-05,0.0102,0.0159,0.00397,0.0703,0.0449,0.143,0.739,0.00283,0.0605,0.0416,0.134,0.761,0.0023,0.103,0.0705,0.159,0.662,0.00606,0.234,0.157,0.435,2.16,0.0112,10.5,12.6,6.41,9.84,5.18,4.17,7.65,8.77,4.72,7.05,0.01
N2,0.00075,0.00045,0.00151,0.00904,2.83e-05,0.0008,0.00051,0.00191,0.0103,3.3e-05,0.00036,0.00025,0.0006,0.00272,2.35e-05,0.0118,0.0135,0.00395,0.0637,0.0382,0.128,0.768,0.0024,0.0592,0.0378,0.141,0.759,0.00244,0.0911,0.0632,0.152,0.688,0.00594,0.214,0.139,0.421,2.21,0.0108,12.1,12.8,7.56,10.8,5.99,4.53,8.79,9.28,5.44,7.84,0.00974
N2,0.00047,0.00033,0.00092,0.00484,2.63e-05,0.00061,0.00043,0.00132,0.00797,2.98e-05,0.00029,0.00021,0.00062,0.00217,2.26e-05,0.00659,0.0104,0.00331,0.0714,0.0501,0.14,0.735,0.00399,0.0589,0.0415,0.127,0.769,0.00288,0.0875,0.0634,0.187,0.655,0.00682,0.218,0.155,0.454,2.16,0.0137,10.3,13.1,7.48,10.3,5.26,3.5,7.2,8.93,5.58,7.24,0.00675
N2,0.0009,0.00055,0.00144,0.00564,3.16e-05,0.00115,0.00076,0.00217,0.00719,3.91e-05,0.00037,0.00027,0.00061,0.00218,2.31e-05,0.00856,0.0113,0.00345,0.105,0.0642,0.168,0.659,0.00369,0.102,0.0672,0.192,0.636,0.00346,0.107,0.0782,0.177,0.631,0.00669,0.314,0.21,0.537,1.93,0.0138,6.27,6.25,5.89,6.14,3.92,3.57,4.88,4.9,4.36,4.71,0.00777
N2,0.00052,0.00036,0.00095,0.00508,2.77e-05,0.00066,0.00048,0.00135,0.00659,2.99e-05,0.00026,0.00019,0.0005,0.00202,2.09e-05,0.00694,0.00911,0.00299,0.075,0.0519,0.137,0.732,0.00399,0.0724,0.0527,0.148,0.723,0.00328,0.0869,0.0635,0.167,0.675,0.00699,0.234,0.168,0.452,2.13,0.0143,9.77,9.98,7.77,9.17,5.35,4.04,6.85,6.96,5.6,6.47,0.00635
N2,0.00102,0.00063,0.002,0.0128,3.38e-05,0.00163,0.00103,0.00398,0.0195,4.43e-05,0.00047,0.00034,0.00081,0.00292,2.61e-05,0.0165,0.0262,0.00457,0.0619,0.0382,0.121,0.777,0.00205,0.0623,0.0393,0.152,0.745,0.00169,0.103,0.0745,0.177,0.639,0.00572,0.227,0.152,0.451,2.16,0.00946,12.5,12.0,6.21,10.2,6.4,3.6,8.97,8.83,4.6,7.47,0.0157
N2,0.00071,0.00044,0.00135,0.0114,2.86e-05,0.00091,0.00054,0.00207,0.0104,3.22e-05,0.0003,0.00022,0.00055,0.00346,2.17e-05,0.0139,0.014,0.00455,0.051,0.0316,0.097,0.818,0.00205,0.0651,0.0386,0.148,0.746,0.0023,0.0659,0.0483,0.121,0.76,0.00477,0.182,0.119,0.366,2.32,0.00913,16.0,11.5,11.5,13.0,8.44,6.29,11.1,8.62,7.71,9.14,0.0108
N2,0.0009,0.00053,0.00168,0.0154,3.01e-05,0.00112,0.00068,0.0026,0.0179,3.54e-05,0.00034,0.00025,0.00058,0.00387,2.28e-05,0.0185,0.0224,0.00506,0.0486,0.0286,0.0907,0.831,0.00162,0.0501,0.0304,0.116,0.802,0.00158,0.0672,0.0494,0.115,0.764,0.0045,0.166,0.108,0.321,2.4,0.00771,17.1,16.0,11.4,14.8,9.16,6.67,11.9,11.4,7.54,10.3,0.0153
N2,0.00085,0.00055,0.00136,0.0108,3.1e-05,0.00127,0.00081,0.00213,0.0124,3.72e-05,0.00035,0.00026,0.00059,0.00251,2.32e-05,0.0136,0.0167,0.00373,0.0627,0.0406,0.1,0.794,0.00229,0.0762,0.0486,0.128,0.745,0.00223,0.0938,0.0696,0.158,0.672,0.00621,0.233,0.159,0.386,2.21,0.0107,12.7,9.77,7.17,9.87,7.91,4.25,8.66,6.99,5.08,6.91,0.0113
N2,0.00088,0.00055,0.00193,0.0203,3.4e-05,0.00115,0.00076,0.00284,0.021,4.09e-05,0.00037,0.00031,0.00053,0.00242,2.63e-05,0.0237,0.0257,0.00366,0.0372,0.0232,0.0816,0.857,0.00144,0.0447,0.0295,0.11,0.814,0.00159,0.101,0.0848,0.145,0.662,0.00719,0.183,0.138,0.337,2.33,0.0102,23.0,18.2,6.54,15.9,10.5,4.57,15.5,12.5,4.34,10.8,0.0177
N2,0.00074,0.00054,0.00121,0.0114,3.42e-05,0.00097,0.00071,0.0018,0.00861,4.46e-05,0.00035,0.00028,0.00043,0.00163,2.59e-05,0.0139,0.0121,0.00272,0.0531,0.0388,0.0869,0.819,0.00246,0.0799,0.0585,0.148,0.71,0.00368,0.129,0.103,0.158,0.6,0.00954,0.262,0.2,0.394,2.13,0.0157,15.4,8.88,4.66,9.65,9.42,3.79,9.85,6.2,3.27,6.44,0.00959
N2,0.00064,0.00045,0.00148,0.018,3.18e-05,0.00096,0.00067,0.00204,0.0112,4.14e-05,0.00032,0.00027,0.00049,0.00235,2.55e-05,0.0206,0.0149,0.00346,0.031,0.0218,0.0717,0.874,0.00154,0.0645,0.045,0.137,0.751,0.00278,0.0926,0.0781,0.142,0.68,0.00738,0.188,0.145,0.351,2.3,0.0117,28.2,11.6,7.34,15.7,12.2,4.8,17.9,8.1,4.81,10.3,0.013
R,0.00041,0.00035,0.00096,0.0165,3.19e-05,0.0005,0.00046,0.00116,0.0107,4.06e-05,0.00026,0.00024,0.00037,0.00139,2.59e-05,0.0183,0.0129,0.00229,0.0225,0.0192,0.0526,0.904,0.00175,0.0388,0.0357,0.0901,0.832,0.00315,0.114,0.105,0.162,0.608,0.0113,0.175,0.16,0.305,2.34,0.0162,40.2,21.4,5.35,22.3,17.2,3.76,23.0,12.4,3.52,13.0,0.0111
R,0.00048,0.00043,0.00079,0.00336,3.47e-05,0.00058,0.00052,0.00099,0.0033,4.31e-05,0.00029,0.00027,0.0004,0.00128,2.62e-05,0.00509,0.00543,0.00227,0.0942,0.0844,0.155,0.66,0.00681,0.107,0.0957,0.182,0.607,0.00793,0.128,0.119,0.177,0.565,0.0116,0.329,0.299,0.514,1.83,0.0263,7.0,5.69,4.41,5.7,4.25,3.2,4.56,3.9,3.0,3.82,0.00426
R,0.00036,0.00031,0.00059,0.00239,3.09e-05,0.00047,0.00039,0.00082,0.00271,3.83e-05,0.00026,0.00025,0.00033,0.00101,2.64e-05,0.00368,0.00443,0.00188,0.0978,0.0842,0.16,0.649,0.00839,0.106,0.0881,0.185,0.612,0.00865,0.139,0.133,0.176,0.538,0.0141,0.343,0.306,0.521,1.8,0.0311,6.64,5.77,3.88,5.43,4.05,3.06,4.45,4.1,2.63,3.73,0.00333
R,0.00042,0.00035,0.00062,0.00376,3.1e-05,0.00059,0.0005,0.00087,0.00331,4.06e-05,0.00028,0.00024,0.00039,0.00113,2.46e-05,0.00518,0.00531,0.00206,0.0811,0.0676,0.12,0.726,0.00598,0.111,0.0942,0.164,0.623,0.00765,0.136,0.116,0.189,0.547,0.0119,0.328,0.278,0.472,1.9,0.0255,8.95,5.61,4.04,6.2,6.06,2.9,5.69,3.83,2.92,4.15,0.00419
